Term;Stemmed;Variations;Getting started with Haskell and GHCi;Basic types and definitions;Designing and writing programs;Data types, tuples and lists;Programming with lists;Defining functions over lists;Playing the game: I/O in Haskell;Reasoning about programs;Generalization: patterns of computation;Higher-order functions;Developing higher-order programs;Overloading, type classes and type checking;Algebraic types;Case study: Huffman codes;Abstract data types;Lazy programming;Programming with monads;Domain-Specific Languages;Time and space behaviour
comment;comment;comment;10;0;0;0;1;0;0;0;0;0;2;2;0;3;2;0;0;1;0
floating point;floating point;floating point;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otherwise;otherwise;otherwise;0;5;1;4;2;3;1;0;0;1;1;1;3;0;3;4;1;1;0
case study;case study;case studies, case study;1;0;0;1;1;4;0;0;10;5;5;0;3;6;3;8;4;3;0
feedback;feedback;feedback;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
just;just;just;0;4;8;2;3;6;9;4;3;10;6;7;13;3;3;3;6;5;0
haskell.org;haskell.org;haskell.org;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
boolean;boolean;booleans, boolean;0;12;1;3;0;0;0;1;1;1;2;3;2;0;1;2;0;1;1
declaration;declaration;declaration;1;2;5;1;2;0;0;1;0;0;2;36;5;0;6;0;3;2;0
lambda expression;lambda expression;lambda expression;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
syntax;syntax;syntax;6;7;0;1;0;0;1;0;0;6;1;1;3;0;0;4;0;5;0
primitive recursion;primitive recursion;primitive recursion;0;0;9;0;0;13;0;3;15;1;0;0;10;0;0;1;0;0;0
currying;currying;currying;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0
maximal common subsequence;maximal common subsequence;maximal common subsequence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
relation;relation;relations, relation;0;2;0;0;0;0;0;0;0;0;1;1;0;0;43;2;0;0;1
fliph;fliph;fliph;0;0;0;0;6;0;0;0;0;7;0;0;0;0;0;0;0;1;0
conversion between types;conversion between type;conversion between types;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
