Kind,IndexTerm,WikiTerm,Comment
TERM,action,Action,
TERM,algebraic,Algebraic data type,
TERM,algebraic type,Algebraic data type,
TERM,base case,Base case,
TERM,bool,Boolean,
TERM,calculation,Calculation,
TERM,class,Type class,
TERM,code,Code,
TERM,coding,Programming,
TERM,command,Command,
TERM,complexity,Complexity,
TERM,constructor,Data constructor,
TERM,database,Database,
TERM,design,Program design,
TERM,equality,Equality,
TERM,evaluation,Evaluation strategy,
TERM,file,File,
TERM,filter,Filter function,
TERM,float,Float,
TERM,folding,Catamorphism,
TERM,foldr,Fold function,
TERM,GHCi,Technology:GHCi,
TERM,guard,Guard,
TERM,head,Head,
TERM,I/O,I/O system,
TERM,induction,Induction,
TERM,infinite list,Infinite list,
TERM,IO,I/O system,
TERM,local,Local scope,
TERM,map,Map function,
TERM,maximum,,too specific
TERM,model,,general English
TERM,module,Module,
TERM,monad,Monad,
TERM,operator,Operator,
TERM,package,Haskell package,
TERM,parser,Parser,
TERM,partial,Partial application,
TERM,partial application,Partial application,
TERM,pattern matching,Pattern matching,
TERM,picture,,illustration
TERM,prelude,Prelude,
TERM,proof,Proof,
TERM,queue,Queue,
TERM,random,Random number,
TERM,recursion,Recursion,  
TERM,regular expression,Regular expression,
TERM,set,Set,
TERM,state,State,
TERM,strict,Eager evaluation,
TERM,testing,Testing,
TERM,text,Text,
TERM,tree,Tree,
TERM,tuple,Tuple,
TERM,type checking,Type checking,
TITLE,Algebraic.types,,
TITLE,Reasoning.about.programs,Equational reasoning,
TITLE,Programming.with.lists,,
TITLE,Overloading..type.classes.and.type.checking,,
TITLE,Domain.Specific.Languages,,
TITLE,Lazy.programming,,
TITLE,Developing.higher.order.program,Higher-order function,
TITLE,Defining.functions.over.lists,,
TITLE,Generalization..patterns.of.computation,,
TITLE,Data.types..tuples.and.lists,,
TITLE,Getting.started.with.Haskell.and.GHCi,,
TITLE,Designing.and.writing.programs,,
TITLE,Case.study..Huffman.codes,,
TITLE,Time.and.space.behaviour,,
TITLE,Programming.with.monads,,
TITLE,Playing.the.game..I.O.in.Haskell,,
