any class;del;
are;del;
available methods;del;
bad input;del;
best thing;del;
certain order;del;
do;del;
final answer;del;
first;del;
first argument;del;
first element;del;
first occurrence;del;
first python program;del;
first slice;del;
five-element list;del;
fromroman;del;
further reading;del;
google;del;
google api;del;
google search;del;
google web;del;
google web services;del;
ide on windows;del;
in;del;
in java;del;
in python;del;
in visual basic;del;
installation program;del;
installer program;del;
installing fpconst;del;
installing pyxml;del;
installing soappy;del;
last element;del;
last time;del;
last-modified date;del;
latest version;del;
let;del;
list of characters;del;
list of strings;del;
list of tuples;del;
lot;del;
mac os;del;
make sure;del;
method with;del;
much faster;del;
much processor;del;
new address;del;
new bugs;del;
new list;del;
new location;del;
new permanent;del;
new requirements;del;
new syntax;del;
next example;del;
next highest;del;
next line;del;
next program;del;
next time;del;
old version;del;
only reason;del;
only thing;del;
org xml;del;
org xml atom;del;
other;del;
other class;del;
other examples;del;
other keys;del;
other languages;del;
other lists;del;
other programming languages;del;
other things;del;
own timing;del;
phone number;del;
phone numbers;del;
py;del;
py roman;del;
roman stage7;del;
roman stage8;del;
sanity check;del;
see;del;
soundex function;del;
soundex stage2 soundex2c;del;
the;del;
the right;del;
thing;del;
to;del;
to use;del;
toroman;del;
using;del;
using lambda functions;del;
with;del;
with an;del;
worth specifying;del;
your first python;del;
your google;del;
