Kind,IndexTerm,WikiTerm,Comment
CHAP,__name__,,
CHAP,actual search,,
CHAP,address book,,
CHAP,ancestor tree,Tree,
CHAP,antecedents test,,
CHAP,application,,
CHAP,area code,,
CHAP,argument,Argument,automatically assigned
CHAP,argument name,,
CHAP,ascii character,,
CHAP,ascii string,,
CHAP,attribute,,
CHAP,background process,,
CHAP,base class,,
CHAP,block,,
CHAP,bug,Error,
CHAP,built-in datatype,,
CHAP,built-in function,,
CHAP,call,,
CHAP,case,,
CHAP,case check,,
CHAP,case study,,
CHAP,chapter,,
CHAP,character,Character,automatically assigned
CHAP,check,,
CHAP,class,Class,automatically assigned
CHAP,class instance,OO class,
CHAP,class method,OO class,
CHAP,class name,,
CHAP,code,Code,automatically assigned
CHAP,code block,,
CHAP,command,Command,automatically assigned
CHAP,command line,,
CHAP,command prompt,,
CHAP,command-line flag,,
CHAP,compiled regular expression,,
CHAP,current directory,,
CHAP,current working,,
CHAP,current working directory,,
CHAP,custom url,,
CHAP,data attribute,,
CHAP,datatype,Data type,
CHAP,default,,
CHAP,default processing,,
CHAP,developer kit,,
CHAP,dictionary,,
CHAP,different argument,,
CHAP,directory,Directory,automatically assigned
CHAP,doc,,
CHAP,doc string,,
CHAP,document,,
CHAP,element,,
CHAP,empty string,,
CHAP,encoding scheme,,
CHAP,end tag,,
CHAP,everything,,
CHAP,examples directory,,
CHAP,exception,Exception,automatically assigned
CHAP,expression,Expression,automatically assigned
CHAP,file object,File,
CHAP,file-like object,,
CHAP,flag,,
CHAP,formatting,Formatting,automatically assigned
CHAP,full pathname,,
CHAP,fundamental rule,,
CHAP,getattr,,
CHAP,grammar file,,example
CHAP,handler class,,
CHAP,handling,,
CHAP,html,Language:HTML,automatically assigned
CHAP,html tag,Language:HTML,
CHAP,http,Technology:HTTP,automatically assigned
CHAP,http layer,,
CHAP,http web service,,
CHAP,human-readable part,,
CHAP,import,Import,automatically assigned
CHAP,individual attribute,,
CHAP,input,Input,automatically assigned
CHAP,input source,,
CHAP,input test,,
CHAP,instance,,
CHAP,invalid roman,,
CHAP,known value,,
CHAP,lambda,Lambda abstraction,
CHAP,language,,
CHAP,library,Library,automatically assigned
CHAP,line,,
CHAP,list comprehension,List comprehension,automatically assigned
CHAP,local file,,
CHAP,log file,,
CHAP,long flag,,
CHAP,loop,Loop,automatically assigned
CHAP,match,,
CHAP,multiple method,,
CHAP,named argument,,
CHAP,namespace,Namespace,automatically assigned
CHAP,node,,
CHAP,non-numeric character,,
CHAP,none,,
CHAP,normal method,,
CHAP,normal python,,
CHAP,number,,
CHAP,numeral,,
CHAP,object,Object,automatically assigned
CHAP,operator work,,
CHAP,order,,
CHAP,original list,,
CHAP,output,Output,automatically assigned
CHAP,output buffer,,
CHAP,partial pathname,,
CHAP,path,,
CHAP,pattern,,
CHAP,pattern object,,
CHAP,processing instruction,,
CHAP,program,Program,automatically assigned
CHAP,proxy class,,
CHAP,python class,OO class,
CHAP,python interpreter,,
CHAP,python library,,
CHAP,python library reference,,
CHAP,python object,,
CHAP,python program,,
CHAP,range check,,
CHAP,re,,
CHAP,reading,,
CHAP,real dictionary,,
CHAP,redirect,,
CHAP,redirect handler,,
CHAP,reference,,
CHAP,regular,,
CHAP,regular expression,Regular expression,automatically assigned
CHAP,remembered group,,
CHAP,remote,,
CHAP,request,,
CHAP,result,Result,automatically assigned
CHAP,return,,
CHAP,return value,,
CHAP,roman,,
CHAP,roman numeral,,
CHAP,roman numeral representation,,
CHAP,rule,,
CHAP,run,,
CHAP,same thing,,
CHAP,same way,,
CHAP,script,,
CHAP,search,,
CHAP,search result,,
CHAP,second argument,,
CHAP,second parameter,,
CHAP,second time,,
CHAP,section,,
CHAP,server,Server,automatically assigned
CHAP,service,,
CHAP,service url,,
CHAP,single element,,
CHAP,single xml,,
CHAP,slice index,,
CHAP,soap,,
CHAP,soap fault,,
CHAP,soap server,,
CHAP,soap service,,
CHAP,soap web,,
CHAP,soap web service,,
CHAP,soundex,,
CHAP,special class,,
CHAP,special class method,,
CHAP,special method,,
CHAP,stage,,
CHAP,standard error,Error,
CHAP,standard input,Input,
CHAP,start,,
CHAP,start tag,,
CHAP,statement,,
CHAP,status code,,
CHAP,step,,
CHAP,string formatting,,
CHAP,support function,,
CHAP,syntax,Syntax,automatically assigned
CHAP,tag name,,
CHAP,temporary redirect,,
CHAP,test,Testing,
CHAP,test case,Test case,automatically assigned
CHAP,test pass,Testing,
CHAP,test suite,Testing,
CHAP,testing,Testing,automatically assigned
CHAP,text,Text,automatically assigned
CHAP,text substitution,,
CHAP,timing framework,,
CHAP,trick,,
CHAP,try,,
CHAP,tuple,Tuple,automatically assigned
CHAP,type,Type,automatically assigned
CHAP,unit,,
CHAP,unit test,Unit testing,
CHAP,unit testing,Unit testing,automatically assigned
CHAP,uppercase input,,
CHAP,url,,
CHAP,url handler,,
CHAP,valid roman,,
CHAP,valid roman numeral,,
CHAP,value at once,,
CHAP,values test,,
CHAP,variable,,
CHAP,verbose,,
CHAP,verbose regular expression,,
CHAP,version,,
CHAP,version number,,
CHAP,web,,
CHAP,web page,,
CHAP,web service,,
CHAP,word,,
CHAP,work,,
CHAP,working directory,,
CHAP,wsdl file,,
CHAP,wsdl proxy,,
CHAP,xml,XML processing,
CHAP,xml document,,
CHAP,xml element,,
CHAP,xml library,XML data binding,
CHAP,xml library,XML serialization,
CHAP,xml schema,Language:XSD,
FREQ,example,,
FREQ,file,File,automatically assigned
FREQ,function,Function,automatically assigned
FREQ,list,List,automatically assigned
FREQ,method,Method,automatically assigned
FREQ,module,Module,automatically assigned
FREQ,os,Operating system,
FREQ,python,Language:Python,automatically assigned
FREQ,string,String,automatically assigned
FREQ,value,,
TITLE,1.8. The Interactive Shell,,
TITLE,1.9. Summary,,
TITLE,2. Your First Python Program,,
TITLE,2.2. Declaring Functions,Function,
TITLE,2.3. Documenting Functions,,
TITLE,2.4. Everything Is an Object,Object,
TITLE,2.5. Indenting Code,,
TITLE,2.6. Testing Modules,,
TITLE,3. Native Datatypes,,
TITLE,3.2. Introducing Lists,List,
TITLE,3.3. Introducing Tuples,Tuple,
TITLE,3.4. Declaring variables,,
TITLE,3.5. Formatting Strings,String,
TITLE,3.6. Mapping Lists,List comprehesion,
TITLE,3.7. Joining Lists and Splitting Strings,,
TITLE,3.8. Summary,,
TITLE,4. The Power Of Introspection,,
TITLE,4.2. Using Optional and Named Arguments,,
TITLE,"4.3. Using type, str, dir, and Other Built-In Functions",,
TITLE,4.4. Getting Object References With getattr,,
TITLE,4.5. Filtering Lists,,
TITLE,4.6. The Peculiar Nature of and and or,,
TITLE,4.7. Using lambda Functions,,
TITLE,4.8. Putting It All Together,,
TITLE,4.9. Summary,,
TITLE,5. Objects and Object-Orientation,OO programming,
TITLE,5.2. Importing Modules Using from module import,,
TITLE,5.3. Defining Classes,,
TITLE,5.4. Instantiating Classes,,
TITLE,5.5. Exploring UserDict: A Wrapper Class,,
TITLE,5.6. Special Class Methods,,
TITLE,5.7. Advanced Special Class Methods,,
TITLE,5.8. Introducing Class Attributes,,
TITLE,5.9. Private Functions,,
TITLE,5.10. Summary,,
TITLE,6. Exceptions and File Handling,Exception,
TITLE,6.2. Working with File Objects,,
TITLE,6.3. Iterating with for Loops,,
TITLE,6.4. Using sys.modules,,
TITLE,6.5. Working with Directories,,
TITLE,6.6. Putting It All Together,,
TITLE,6.7. Summary,,
TITLE,7. Regular Expressions,Regular expression,
TITLE,7.2. Case Study: Street Addresses,,
TITLE,7.3. Case Study: Roman Numerals,,
TITLE,"7.4. Using the {n,m} Syntax",,
TITLE,7.5. Verbose Regular Expressions,,
TITLE,7.6. Case study: Parsing Phone Numbers,,
TITLE,7.7. Summary,,
TITLE,8. HTML Processing, Technology:HTML Parser,
TITLE,8.2. Introducing sgmllib.py,,
TITLE,8.3. Extracting data from HTML documents,,
TITLE,8.4. Introducing BaseHTMLProcessor.py,,
TITLE,8.5. locals and globals,,
TITLE,8.6. Dictionary-based string formatting,,
TITLE,8.7. Quoting attribute values,,
TITLE,8.8. Introducing dialect.py,,
TITLE,8.9. Putting it all together,,
TITLE,8.10. Summary,,
TITLE,9. XML Processing,XML Processing,
TITLE,9.2. Packages,,
TITLE,9.3. Parsing XML,,
TITLE,9.4. Unicode,,
TITLE,9.5. Searching for elements,,
TITLE,9.6. Accessing element attributes,,
TITLE,9.7. Segue,,
TITLE,10. Scripts and Streams,,
TITLE,"10.2. Standard input, output, and error",,
TITLE,10.3. Caching node lookups,,
TITLE,10.4. Finding direct children of a node,,
TITLE,10.5. Creating separate handlers by node type,,
TITLE,10.6. Handling command-line arguments,,
TITLE,10.7. Putting it all together,,
TITLE,10.8. Summary,,
TITLE,11. HTTP Web Services,Technology:HTTP,
TITLE,11.2. How not to fetch data over HTTP,,
TITLE,11.3. Features of HTTP,,
TITLE,11.4. Debugging HTTP web services,,
TITLE,11.5. Setting the User-Agent,,
TITLE,11.6. Handling Last-Modified and ETag,,
TITLE,11.7. Handling redirects,,
TITLE,11.8. Handling compressed data,,
TITLE,11.9. Putting it all together,,
TITLE,11.10. Summary,,
TITLE,12. SOAP Web Services,,
TITLE,12.2. Installing the SOAP Libraries,,
TITLE,12.3. First Steps with SOAP,,
TITLE,12.4. Debugging SOAP Web Services,,
TITLE,12.5. Introducing WSDL,,
TITLE,12.6. Introspecting SOAP Web Services with WSDL,,
TITLE,12.7. Searching Google,,
TITLE,12.8. Troubleshooting SOAP Web Services,,
TITLE,12.9. Summary,,
TITLE,13. Unit Testing,Unit testing,
TITLE,13.2. Diving in,,
TITLE,13.3. Introducing romantest.py,,
TITLE,13.4. Testing for success,,
TITLE,13.5. Testing for failure,,
TITLE,13.6. Testing for sanity,,
TITLE,14. Test-First Programming,,
TITLE,"14.2. roman.py, stage 2",,
TITLE,"14.3. roman.py, stage 3",,
TITLE,"14.4. roman.py, stage 4",,
TITLE,"14.5. roman.py, stage 5",,
TITLE,15. Refactoring,,
TITLE,15.2. Handling changing requirements,,
TITLE,15.3. Refactoring,,
TITLE,15.4. Postscript,,
TITLE,15.5. Summary,,
TITLE,16. Functional Programming,,
TITLE,16.2. Finding the path,,
TITLE,16.3. Filtering lists revisited,,
TITLE,16.4. Mapping lists revisited,,
TITLE,16.5. Data-centric programming,,
TITLE,16.6. Dynamically importing modules,,
TITLE,16.7. Putting it all together,,
TITLE,16.8. Summary,,
TITLE,17. Dynamic functions,,
TITLE,"17.2. plural.py, stage 1",,
TITLE,"17.3. plural.py, stage 2",,
TITLE,"17.4. plural.py, stage 3",,
TITLE,"17.5. plural.py, stage 4",,
TITLE,"17.6. plural.py, stage 5",,
TITLE,"17.7. plural.py, stage 6",,
TITLE,17.8. Summary,,
TITLE,18. Performance Tuning,,
TITLE,18.2. Using the timeit Module,,
TITLE,18.3. Optimizing Regular Expressions,,
