"Term","Structuring.Your.Project","Code.Style","Reading.Great.Code","Documentation","Testing.Your.Code","Logging","Common.Gotchas","Choosing.a.License","Network.Applications","Web.Applications","HTML.Scraping","Command.line.Applications","GUI.Applications","Databases","Networking","Systems.Administration","Continuous.Integration","Speed","Scientific.Applications","Image.Manipulation","XML.parsing","JSON","Cryptography"
"application"," "," "," "," "," "," "," "," "," ","33"," "," ","10"," "," "," "," "," "," "," "," "," "," "
"argument"," ","36"," "," "," "," ","8"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"code","26","33","12","14","21"," "," "," "," "," "," "," "," "," "," "," "," ","7"," "," "," "," "," "
"command"," "," "," "," "," "," "," "," "," "," "," ","14"," "," "," "," "," "," "," "," "," "," "," "
"command-line"," "," "," "," "," "," "," "," "," "," "," ","6"," "," "," "," "," "," "," "," "," "," "," "
"configuration"," "," "," "," "," ","8"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"continuous integration"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","6"," "," "," "," "," "," "
"database"," "," "," "," "," "," "," "," "," "," "," "," "," ","12"," "," "," "," "," "," "," "," "," "
"default"," "," "," "," "," "," ","8"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"dictionary"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","3"," "
"distribution"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","3"," "," "," "," "," "," "," "," "
"django"," "," "," "," "," "," "," "," "," "," "," "," "," ","6"," "," "," "," "," "," "," "," "," "
"documentation"," "," "," ","14"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"example"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","3"
"file"," "," "," "," "," ","7"," "," "," "," "," "," "," "," "," ","10"," "," "," "," ","3"," "," "
"function","35","41"," "," "," "," ","16"," "," "," "," "," "," "," "," "," "," "," ","6"," "," "," "," "
"html"," "," "," "," "," "," "," "," "," "," ","6"," "," "," "," "," "," "," "," "," "," "," "," "
"http"," "," ","5"," "," "," "," "," ","6"," "," "," ","6"," "," "," "," "," "," "," "," "," "," "
"image"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","3"," "," "," "
"install"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","2"," "," "," "
"integration"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","11"," "," "," "," "," "," "
"interface"," "," "," "," "," "," "," "," "," "," "," ","6"," "," "," "," "," "," "," "," "," "," "," "
"json"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","14"," "
"layer"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","3"
"license"," "," "," "," "," "," "," ","13"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"line"," "," "," "," "," "," "," "," "," "," "," ","11"," "," "," "," "," "," "," "," "," "," "," "
"logging"," "," "," "," "," ","25"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"manipulation"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","3"," "," "," "
"message"," "," "," "," "," "," "," "," ","5"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"model"," "," "," "," "," "," "," "," "," "," "," "," "," ","6"," "," "," "," "," "," "," "," "," "
"module","27"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"networking"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","4"," "," "," "," "," "," "," "," "
"numpy"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","11"," "," "," "," "
"object","24"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"orm"," "," "," "," "," "," "," "," "," "," "," "," "," ","7"," "," "," "," "," "," "," "," "," "
"os"," ","35"," ","8"," "," ","10","5"," "," "," "," ","9"," "," ","20"," "," "," "," "," "," "," "
"package"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","10"," "," "," "," "
"pattern"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","5"," "," "," "," "," "," "," "," "
"platform"," "," "," "," "," "," "," "," "," "," "," "," ","9"," "," "," "," "," "," "," "," "," "," "
"project"," "," "," ","11"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"scientific python"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","7"," "," "," "," "
"server"," "," "," "," "," "," "," "," "," ","27"," "," "," "," "," ","12"," "," "," "," "," "," "," "
"set"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","4"," "," "," "," "," "," "," "," "
"software"," "," "," "," "," "," "," ","5"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"source"," "," "," "," "," "," "," ","5"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"string"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","3"," "
"system"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","18"," "," "," "," "," "," "," "
"template"," "," "," "," "," "," "," "," "," ","27"," "," "," "," "," "," "," "," "," "," "," "," "," "
"test"," "," "," "," ","44"," "," "," "," "," "," "," "," "," "," "," ","8"," "," "," "," "," "," "
"version"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","5"," "," "," ","3"," "
"web"," "," "," "," "," "," "," "," ","3","36","9"," "," "," "," "," "," "," "," "," "," "," "," "
"xml"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","7"," "," "
"your"," "," "," "," "," "," "," "," ","3"," "," "," "," "," "," "," ","10"," "," "," "," "," "," "
