Term;Stemmed;Variations;Frequency
iterator type;iterator type;iterator type;0
impure function;impure function;impure functions, impure function;0
dynamic;dynamic;dynamic;0
function for 2nd;function for 2nd;functions for 2nd, function for 2nd;0
updatelookupwithkey type;updatelookupwithkey type;updatelookupwithkey type;0
const;const;const;0
polymorphic list type;polymorphic list type;polymorphic list types, polymorphic list type;0
splitat function;splitat function;splitat function;0
derived instance;derived instance;derived instances, derived instance;1
anchored regular expression;anchored regular expression;anchored regular expressions, anchored regular expression;0
decoding barcode;decoding barcode;decoding barcodes, decoding barcode;0
blockbuffering mode (buffermode);blockbuffering mode ( buffermode );blockbuffering mode (buffermode);0
prepare function;prepare function;prepare function;0
list comprehension;list comprehension;list comprehensions, list comprehension;43
product type;product type;product types, product type;0
ST (state thread) monad;st ( state thread ) monad;ST (state thread) monad;0
vector;vector;vector;17
runparse function;runparse function;runparse function;0
vs. space;vs. space;vs. spaces, vs. space;0
p5 (raw) netpbm image format;p5 ( raw ) netpbm image format;p5 (raw) netpbm image format;0
Data.Dynamic module;Data.Dynamic module;Data.Dynamic module;0
tan function;tan function;tan function;0
overlappinginstances 2nd;overlappinginstances 2nd;overlappinginstances 2nd;0
type parameter;type parameter;type parameter;47
monad transformer;monad transformer;monad transformers, monad transformer;0
even;even;even;82
specification;specification;specification;0
decoding;decoding;decoding;1
binding function [see (>>=) operator];binding function [ see (>>=) operator ];binding function [see (>>=) operator];0
above;above;above;12
byetstring module;byetstring module;byetstring module;0
enumeration notation;enumeration notation;enumeration notation;0
operator precedence;operator precedence;operator precedence;0
algebraic type;algebraic type;algebraic type;0
regexcontex typeclass;regexcontex typeclass;regexcontex typeclass;0
unlifted function;unlifted function;unlifted functions, unlifted function;0
local functions/global variable;local functions/global variable;local functions/global variables, local functions/global variable;0
System.Directory library;System.Directory library;System.Directory library;0
infix function;infix function;infix functions, infix function;11
polymorphic testing;polymorphic testing;polymorphic testing;0
getchar;getchar;getchar;1
python 2nd 3rd;python 2nd 3rd;python 2nd 3rd;0
init;init;init;1
two-dimensional vector;two-dimensional vector;two-dimensional vectors, two-dimensional vector;1
getdirectorycontents function;getdirectorycontents function;getdirectorycontents function;0
numeric types 2nd;numeric type 2nd;numeric types 2nd;0
type;type;types, type;1206
toUTCTime function;toutctime function;toUTCTime function;0
alternatives (value constructors);alternative ( value constructor );alternatives (value constructors);0
reserved word;reserved word;reserved words, reserved word;0
foreignfunctioninterface;foreignfunctioninterface;foreignfunctioninterface;0
pretty printer;pretty printer;pretty printers, pretty printer;0
raw (p5) netpbm format;raw ( p5 ) netpbm format;raw (p5) netpbm format;0
join;join;join;14
nomonomorphismrestriction language extension;nomonomorphismrestriction language extension;nomonomorphismrestriction language extension;0
SQL (Structured Query Language);sql ( structured query language );SQL (Structured Query Language);0
queries (database);query ( database );queries (database);0
do expression;do expression;do expressions, do expression;0
immutable array;immutable array;immutable arrays, immutable array;0
structures 2nd 3rd [see also data structures];structure 2nd 3rd [ see also data structure ];structures 2nd 3rd [see also data structures];0
hfilesize function;hfilesize function;hfilesize function;0
error handling;error handling;error handling;4
temporary file;temporary file;temporary files, temporary file;13
id function;id function;id function;0
open world assumption;open world assumption;open world assumption;0
