Kind,IndexTerm,WikiTerm,Comment
TERM,accumulator,Accumulator,
TERM,applicative,Applicative functor,
TERM,comprehension,List comprehension,
TERM,condition,Condition,
TERM,constructor,Data constructor,
TERM,context,,generalEnglish
TERM,data structure,Data structure,
TERM,eq,,tooSpecific
TERM,expression,Expression,
TERM,factorial,Factorial,
TERM,file,File,
TERM,fmap,Fmap function,
TERM,fold,Catamorphism,
TERM,functor,Functor,
TERM,GHCi,Technology:GHCi,
TERM,guard,Guard,
TERM,I/O,I/O system,
TERM,import,Import,
TERM,input,Input,
TERM,int,Integer,
TERM,list comprehension,List comprehension,
TERM,map,Map function,
TERM,maximum,,tooSpecific
TERM,maybe,Maybe type,
TERM,module,Module,
TERM,monad,Monad,
TERM,monadic value,Monadic value,
TERM,monoid,Monoid,
TERM,nothing,,tooSpecific
TERM,pattern matching,Pattern matching,
TERM,random,Random number,
TERM,recursion,Recursion,
TERM,stack,Stack,
TERM,sum,Sum function,
TERM,tail,Tail,
TERM,tree,Tree,
TERM,typeclass,Type class,
TERM,zipper,Zipper,
TITLE,For.a.Few.Monads.More,,
TITLE,Types.and.Typeclasses,,
TITLE,Functors..Applicative.Functors.and.Monoids,,
TITLE,Making.Our.Own.Types.and.Typeclasses,,
TITLE,A.Fistful.of.Monads,,
TITLE,Higher.Order.Functions,,
TITLE,Zippers,,
TITLE,Input.and.Output,,
TITLE,Starting.Out,,
TITLE,Syntax.in.Functions,,
TITLE,Recursion,,
TITLE,Modules,,
