Term;Stemmed;Variations;First steps;Types and classes;Defining functions;List comprehensions;Recursive functions;Higher-order functions;Functional parsers;Interactive programs;Declaring types and classes;The countdown problem;Lazy evaluation;Reasoning about programs
show;show;show;5;9;2;4;5;2;3;4;2;1;4;26
conjunction;conjunction;conjunction;0;0;3;0;0;0;0;1;4;0;1;0
const;const;const;0;0;5;0;0;0;0;0;0;0;0;0
application;application;application;9;10;3;0;1;5;6;0;1;5;18;0
tail;tail;tail;2;0;7;0;7;8;0;0;0;0;2;0
successor;successor;successor;0;0;2;0;1;0;0;0;2;0;2;1
getline;getline;getline;0;0;0;0;0;0;0;4;0;0;0;0
take;take;take;3;14;3;0;5;8;6;10;1;0;6;8
return;return;return;1;15;12;8;1;12;15;16;13;18;5;0
string;string;string;0;16;0;31;1;12;39;19;1;0;0;0
read;read;read;0;12;2;1;1;1;4;7;2;0;0;0
foldl1;foldl1;foldl1;0;0;0;0;0;0;0;0;0;0;0;0
integer;integer;integer;4;38;13;15;29;14;5;4;21;3;14;16
pattern matching;pattern matching;pattern matching;0;0;9;0;5;0;1;0;1;0;0;4
inttodigit;inttodigit;inttodigit;0;0;0;0;0;0;0;0;0;0;0;0
mod;mod;mod;0;3;0;4;0;2;0;0;0;0;2;0
recip;recip;recip;0;2;4;0;0;0;0;0;0;0;0;0
induction;induction;induction;0;0;0;0;1;0;0;0;0;0;0;54
drop;drop;drop;2;1;0;0;15;0;0;0;0;0;0;2
list;list;lists, list;24;48;23;64;97;92;12;13;40;39;29;32
div;div;div;7;4;1;0;0;2;0;0;1;6;0;0
accumulation;accumulation;accumulation;0;0;0;0;0;1;0;0;0;0;1;2
foldr;foldr;foldr;0;0;1;0;4;27;0;0;0;0;0;0
snd;snd;snd;0;0;3;0;0;0;0;0;0;0;0;0
operator;operator;operators, operator;5;4;19;0;7;16;6;1;6;8;1;7
num;num;num;0;13;0;0;2;0;0;0;0;0;0;0
foldl;foldl;foldl;0;0;0;0;3;11;1;0;0;0;4;2
eq;eq;eq;0;9;0;2;0;0;0;0;6;1;0;0
