Term;Stemmed;Variations;First steps;Types and classes;Defining functions;List comprehensions;Recursive functions;Higher-order functions;Functional parsers;Interactive programs;Declaring types and classes;The countdown problem;Lazy evaluation;Reasoning about programs
iterator type;iterator type;iterator type;0;0;0;0;0;0;0;0;0;0;0;0
impure function;impure function;impure functions, impure function;0;0;0;0;0;0;0;0;0;0;0;0
dynamic;dynamic;dynamic;0;0;0;0;0;0;0;0;0;0;0;0
function for 2nd;function for 2nd;functions for 2nd, function for 2nd;0;0;0;0;0;0;0;0;0;0;0;0
updatelookupwithkey type;updatelookupwithkey type;updatelookupwithkey type;0;0;0;0;0;0;0;0;0;0;0;0
const;const;const;0;0;5;0;0;0;0;0;0;0;0;0
polymorphic list type;polymorphic list type;polymorphic list types, polymorphic list type;0;0;0;0;0;0;0;0;0;0;0;0
splitat function;splitat function;splitat function;0;0;0;0;0;0;0;0;0;0;0;0
derived instance;derived instance;derived instances, derived instance;0;0;0;0;0;0;0;0;2;0;0;0
anchored regular expression;anchored regular expression;anchored regular expressions, anchored regular expression;0;0;0;0;0;0;0;0;0;0;0;0
decoding barcode;decoding barcode;decoding barcodes, decoding barcode;0;0;0;0;0;0;0;0;0;0;0;0
blockbuffering mode (buffermode);blockbuffering mode ( buffermode );blockbuffering mode (buffermode);0;0;0;0;0;0;0;0;0;0;0;0
prepare function;prepare function;prepare function;0;0;0;0;0;0;0;0;0;0;0;0
list comprehension;list comprehension;list comprehensions, list comprehension;0;0;0;13;0;4;1;2;0;1;1;0
product type;product type;product types, product type;0;0;0;0;0;0;0;0;0;0;0;0
ST (state thread) monad;st ( state thread ) monad;ST (state thread) monad;0;0;0;0;0;0;0;0;0;0;0;0
vector;vector;vector;0;0;0;0;0;0;0;0;0;0;0;0
runparse function;runparse function;runparse function;0;0;0;0;0;0;0;0;0;0;0;0
vs. space;vs. space;vs. spaces, vs. space;0;0;0;0;0;0;0;0;0;0;0;0
p5 (raw) netpbm image format;p5 ( raw ) netpbm image format;p5 (raw) netpbm image format;0;0;0;0;0;0;0;0;0;0;0;0
Data.Dynamic module;Data.Dynamic module;Data.Dynamic module;0;0;0;0;0;0;0;0;0;0;0;0
tan function;tan function;tan function;0;0;0;0;0;0;0;0;0;0;0;0
overlappinginstances 2nd;overlappinginstances 2nd;overlappinginstances 2nd;0;0;0;0;0;0;0;0;0;0;0;0
type parameter;type parameter;type parameter;0;0;0;0;0;0;0;0;2;0;0;0
monad transformer;monad transformer;monad transformers, monad transformer;0;0;0;0;0;0;0;0;0;0;0;0
even;even;even;0;2;5;2;8;2;0;0;0;0;3;1
specification;specification;specification;0;0;0;0;0;0;0;0;0;0;0;1
decoding;decoding;decoding;0;0;0;1;0;1;0;0;0;0;0;0
binding function [see (>>=) operator];binding function [ see (>>=) operator ];binding function [see (>>=) operator];0;0;0;0;0;0;0;0;0;0;0;0
above;above;above;4;2;2;2;3;5;3;8;5;0;9;8
byetstring module;byetstring module;byetstring module;0;0;0;0;0;0;0;0;0;0;0;0
enumeration notation;enumeration notation;enumeration notation;0;0;0;0;0;0;0;0;0;0;0;0
operator precedence;operator precedence;operator precedence;0;0;0;0;0;0;0;0;0;0;0;0
algebraic type;algebraic type;algebraic type;0;0;0;0;0;0;0;0;0;0;0;0
regexcontex typeclass;regexcontex typeclass;regexcontex typeclass;0;0;0;0;0;0;0;0;0;0;0;0
unlifted function;unlifted function;unlifted functions, unlifted function;0;0;0;0;0;0;0;0;0;0;0;0
local functions/global variable;local functions/global variable;local functions/global variables, local functions/global variable;0;0;0;0;0;0;0;0;0;0;0;0
System.Directory library;System.Directory library;System.Directory library;0;0;0;0;0;0;0;0;0;0;0;0
infix function;infix function;infix functions, infix function;0;0;0;0;0;0;0;0;0;0;0;0
polymorphic testing;polymorphic testing;polymorphic testing;0;0;0;0;0;0;0;0;0;0;0;0
getchar;getchar;getchar;0;0;0;0;0;0;0;8;0;0;0;0
python 2nd 3rd;python 2nd 3rd;python 2nd 3rd;0;0;0;0;0;0;0;0;0;0;0;0
init;init;init;1;0;0;0;9;0;0;0;0;0;0;0
two-dimensional vector;two-dimensional vector;two-dimensional vectors, two-dimensional vector;0;0;0;0;0;0;0;0;0;0;0;0
getdirectorycontents function;getdirectorycontents function;getdirectorycontents function;0;0;0;0;0;0;0;0;0;0;0;0
numeric types 2nd;numeric type 2nd;numeric types 2nd;0;0;0;0;0;0;0;0;0;0;0;0
type;type;types, type;5;185;8;3;23;7;13;18;123;8;6;20
toUTCTime function;toutctime function;toUTCTime function;0;0;0;0;0;0;0;0;0;0;0;0
alternatives (value constructors);alternative ( value constructor );alternatives (value constructors);0;0;0;0;0;0;0;0;0;0;0;0
reserved word;reserved word;reserved words, reserved word;1;0;0;0;0;0;0;0;0;0;0;0
foreignfunctioninterface;foreignfunctioninterface;foreignfunctioninterface;0;0;0;0;0;0;0;0;0;0;0;0
pretty printer;pretty printer;pretty printers, pretty printer;0;0;0;0;0;1;0;0;0;0;0;0
raw (p5) netpbm format;raw ( p5 ) netpbm format;raw (p5) netpbm format;0;0;0;0;0;0;0;0;0;0;0;0
join;join;join;0;0;0;0;0;0;0;0;0;0;0;0
nomonomorphismrestriction language extension;nomonomorphismrestriction language extension;nomonomorphismrestriction language extension;0;0;0;0;0;0;0;0;0;0;0;0
SQL (Structured Query Language);sql ( structured query language );SQL (Structured Query Language);0;0;0;0;0;0;0;0;0;0;0;0
queries (database);query ( database );queries (database);0;0;0;0;0;0;0;0;0;0;0;0
do expression;do expression;do expressions, do expression;0;0;0;0;0;0;0;0;0;0;0;0
immutable array;immutable array;immutable arrays, immutable array;0;0;0;0;0;0;0;0;0;0;0;0
