Kind,IndexTerm,WikiTerm,Comment
TERM,action,Action,
TERM,application,Function application,
TERM,bit,Bit,
TERM,bool,Boolean,
TERM,calculator,,illustration
TERM,character,Character,
TERM,class,Type class,
TERM,comprehension,List comprehension,
TERM,declaration,Declaration,
TERM,div,,boringFunction
TERM,drop,,boringFunction
TERM,equation,Equation,
TERM,expr,,illustration
TERM,foldr,Fold function,
TERM,identity,Identity element,
TERM,induction,Induction,
TERM,instance,Type-class instance,
TERM,int,Integer,
TERN,lambda,Lambda abstraction,
TERM,lazy,,incompleteTerm
TERM,lazy evaluation,Lazy evaluation,
TERM,map,Map function,
TERM,name,,generalEnglish
TERM,parser,Parser,
TERM,pattern,Pattern,
TERM,product,Product function,
TERM,recursion,Recursion,  
TERM,reverse,Reverse function,
TERM,script,Haskell script,
TERM,string,String,
TERM,text,Text,
TERM,tree,Tree,
TITLE,Types.and.classes,,
TITLE,The.countdown.problem,,
TITLE,Functional.parsers,Parser combinator,
TITLE,List.comprehensions,,
TITLE,Defining.functions,Function definition,
TITLE,Introduction,,
TITLE,Higher.order.functions,,
TITLE,Reasoning.about.programs,,
TITLE,Lazy.evaluation,,
TITLE,Interactive.programs,,
TITLE,Recursive.functions,,
TITLE,First.steps,,
TITLE,Declaring.types.and.classes,Type-class instance,
