Term;Stemmed;Variations;Getting started;Types and functions;Defining types, streamlining functions;Functional programming;Writing a library: working with JSON data;Using typeclasses;Input and output;Efficient file processing, regular expressions, and file name matching;I/O case study: a library for searching the filesystem;Code case study: parsing a binary data format;Testing and quality assurance;Barcode recognition;Data structures;Monads;Programming with monads;The Parsec parsing library;The foreign function interface;Monad transformers;Error handling;Systems programming;Working with databases;Web client programming;GUI programming;Basic concurrent and parallel programming;Profiling and tuning for performance;Advanced library design: building a Bloom filter;Network programming;Software transactional memory
magic number;magic number;magic numbers, magic number;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
composite data type;composite data type;composite data types, composite data type;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
code;code;code;8;29;17;49;35;14;25;15;38;30;33;29;14;52;43;9;45;18;11;10;5;10;7;35;29;29;3;25
partial;partial;partial;0;1;0;15;0;0;2;0;4;0;0;4;5;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0
blending c with haskell;blending c with haskell;blending c with haskell;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
waiting for other threads;waiting for other thread;waiting for other threads;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
global;global;global;0;5;1;0;3;0;3;0;0;0;0;0;0;4;0;0;1;1;0;0;0;0;0;0;0;1;0;0
dynamic;dynamic;dynamic;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0
precedence and associativity;precedence and associativity;precedence and associativity;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CSV file;csv file;CSV files, CSV file;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0
fromrational function;fromrational function;fromrational function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
state monad;state monad;state monad;0;0;0;0;0;0;0;0;0;0;0;0;0;20;14;0;0;7;2;0;0;0;0;0;0;1;0;1
query;query;queries, query;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;1;0;0;1;2;31;1;0;0;0;4;0;0
declarations (module);declaration ( module );declarations (module);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
linebuffering mode (buffermode);linebuffering mode ( buffermode );linebuffering mode (buffermode);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
