Term;Stemmed;Variations;Getting started;Types and functions;Defining types, streamlining functions;Functional programming;Writing a library: working with JSON data;Using typeclasses;Input and output;Efficient file processing, regular expressions, and file name matching;I/O case study: a library for searching the filesystem;Code case study: parsing a binary data format;Testing and quality assurance;Barcode recognition;Data structures;Monads;Programming with monads;The Parsec parsing library;The foreign function interface;Monad transformers;Error handling;Systems programming;Working with databases;Web client programming;GUI programming;Basic concurrent and parallel programming;Profiling and tuning for performance;Advanced library design: building a Bloom filter;Network programming;Software transactional memory
magic number;magic number;magic numbers, magic number;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
last occurrence;last occurrence;last occurrence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
code;code;code;8;29;17;49;35;14;25;15;38;30;33;29;14;52;44;9;45;18;11;10;5;10;7;35;29;29;3;25
partial;partial;partial;0;1;0;15;0;0;2;0;4;0;0;4;5;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0
iterator type;iterator type;iterator type;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cons operator;con operator;cons operator;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
global;global;global;0;5;1;0;3;0;3;0;0;0;0;0;0;4;0;0;1;1;0;0;0;0;0;0;0;1;0;0
datum;datum;data, datum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
handlejust function;handlejust function;handlejust function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
error stream;error stream;error stream;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
fromrational function;fromrational function;fromrational function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
function for 2nd;function for 2nd;functions for 2nd, function for 2nd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
follow;follow;follows, follow;3;2;3;9;5;0;0;2;4;4;1;4;0;7;3;4;0;4;0;0;0;0;0;2;0;0;0;1
declarations (module);declaration ( module );declarations (module);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
