Value;Type;Reason
above list;del;
allows;del;
apt-get install;del;
are multiples;del;
bar;del;
beginning;del;
block of code;del;
capture group;del;
case;del;
cd pythonpractice;del;
concept of namespaces;del;
create;del;
default;del;
do;del;
doc;del;
donkey class;del;
etc;del;
first;del;
first character;del;
first elif;del;
first letter;del;
first program;del;
floating point;del;
foo class;del;
for;del;
for example;del;
from;del;
good idea;del;
google;del;
guido van rossum;del;
hello;del;
help;del;
in;del;
in which;del;
in which case;del;
information;del;
install python3;del;
is;del;
iteration over;del;
keep in mind;del;
library at python;del;
line of code;del;
local bin;del;
lot of memory;del;
lower case;del;
many other languages;del;
new file;del;
new list;del;
new style;del;
new values;del;
number;del;
number of characters;del;
number of items;del;
numpy;del;
operating system;del;
order of operations;del;
org;del;
other languages;del;
other programming;del;
other programming languages;del;
package;del;
piece of code;del;
python3 hello;del;
reference;del;
see;del;
see also;del;
see python programming;del;
set;del;
set operations;del;
system;del;
this way;del;
time;del;
tkinter;del;
type of object;del;
types in python;del;
upper case;del;
use;del;
uses;del;
usr bin;del;
variable point;del;
variables in python;del;
version of python;del;
wikipedia;del;
world;del;
wsgi;del;
