"Term","Chapter.1..The.way.of.the.program","Chapter.2..Variables..expressions.and.statements","Chapter.3..Functions","Chapter.4..Conditionals.and.recursion","Chapter.5..Fruitful.functions","Chapter.6..Iteration","Chapter.7..Strings","Chapter.8..Lists","Chapter.9..Tuples","Chapter.10..Dictionaries","Chapter.11..Files.and.exceptions","Chapter.12..Classes.and.objects","Chapter.13..Classes.and.functions","Chapter.14..Classes.and.methods","Chapter.15..Sets.of.objects","Chapter.16..Inheritance","Chapter.17..Linked.lists","Chapter.18..Stacks","Chapter.19..Queues","Chapter.20..Trees","Appendix.A..Debugging","Appendix.B..Creating.a.new.data.type"
"ADT"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","22"," "," "," "," "
"animal"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","24"," "," "
"branch"," "," "," ","15"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"call"," "," ","20"," ","19"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"card"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","90","77"," "," "," "," "," "," "
"character"," "," "," "," "," "," ","35"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"class"," "," "," "," "," "," "," "," "," "," "," ","15"," ","27","33","47"," "," "," "," "," ","12"
"copy"," "," "," "," "," "," "," "," "," "," "," ","26"," "," "," "," "," "," "," "," "," "," "
"deck"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","36","46"," "," "," "," "," "," "
"denominator"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","28"
"development"," "," "," "," ","10"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"dictionary"," "," "," "," "," "," "," "," "," ","39"," "," "," "," "," "," "," "," "," "," "," "," "
"element"," "," "," "," "," "," "," ","44","15"," "," "," "," "," "," "," "," "," "," "," "," "," "
"exception"," "," "," "," "," "," "," "," "," "," ","18"," "," "," "," "," "," "," "," "," "," "," "
"file"," "," "," "," "," "," "," "," "," "," ","70"," "," "," "," "," "," "," "," "," "," "," "
"formal language","16"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"fraction"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","68"
"index"," "," "," "," "," "," ","33","23"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"item"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","21","34"," "," "," "
"key"," "," "," "," "," "," "," "," "," ","30"," "," "," "," "," "," "," "," "," "," "," "," "
"language","69"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"level","25"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"line"," "," ","23"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"list"," "," "," "," "," "," "," ","143","26"," "," "," "," "," "," "," ","87"," "," "," "," "," "
"long"," "," "," "," "," "," "," "," "," ","15"," "," "," "," "," "," "," "," "," "," "," "," "
"loop"," "," "," "," "," ","36","13"," "," "," "," "," "," "," "," "," "," "," "," "," ","15"," "
"lowercase"," "," "," "," "," "," ","12"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"match"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","33"," "," "," "," "," "," "
"message"," ","12"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"method"," "," "," "," "," "," "," "," "," ","19"," "," "," ","49"," "," "," "," "," "," ","15"," "
"newline"," "," ","21"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"node"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","77"," ","27","38"," "," "
"numerator"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","27"
"object"," "," "," "," "," "," "," ","20"," "," "," ","49","17","39"," "," ","20"," "," "," "," "," "
"operator"," ","14"," ","23"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"priority"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","27"," "," "," "
"programming","17"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"pure"," "," "," "," "," "," "," "," "," "," "," "," ","11"," "," "," "," "," "," "," "," "," "
"pure function"," "," "," "," "," "," "," "," "," "," "," "," ","10"," "," "," "," "," "," "," "," "," "
"queue"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","56"," "," "," "
"random"," "," "," "," "," "," "," "," ","22"," "," "," "," "," "," "," "," "," "," "," "," "," "
"read"," "," "," "," "," "," "," "," "," "," ","18"," "," "," "," "," "," "," "," "," "," "," "
"rectangle"," "," "," "," "," "," "," "," "," "," "," ","23"," "," "," "," "," "," "," "," "," "," "
"reference"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","19"," "," "," "," "," "
"return value"," "," "," "," ","15"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"run"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","13"," "
"stack"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","48"," "," "," "," "
"str"," "," "," "," "," "," "," "," "," "," "," "," "," ","20"," "," "," "," "," "," "," "," "
"suit"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","30"," "," "," "," "," "," "," "
"sum"," "," "," "," "," "," "," "," "," "," "," "," ","21"," "," "," "," "," "," "," "," "," "
"table"," "," "," "," "," ","23"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"text"," "," "," "," "," "," "," "," "," "," ","19"," "," "," "," "," "," "," "," "," "," "," "
"tree"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","154"," "," "
"true"," "," "," ","15"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"tuple"," "," "," "," "," "," "," "," ","28"," "," "," "," "," "," "," "," "," "," "," "," "," "
"variable"," ","32","22"," ","10","24"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"your"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","14"," "
