Term;Stemmed;Variations;Chapter 1: The way of the program;Chapter 2: Variables, expressions and statements;Chapter 3: Functions;Chapter 4: Conditionals and recursion;Chapter 5: Fruitful functions;Chapter 6: Iteration;Chapter 7: Strings;Chapter 8: Lists;Chapter 9: Tuples;Chapter 10: Dictionaries;Chapter 11: Files and exceptions;Chapter 12: Classes and objects;Chapter 13: Classes and functions;Chapter 14: Classes and methods;Chapter 15: Sets of objects;Chapter 16: Inheritance;Chapter 17: Linked lists;Chapter 18: Stacks;Chapter 19: Queues;Chapter 20: Trees;Appendix A: Debugging;Appendix B: Creating a new data type
semantic error;semantic error;semantic error;6;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0
first step;first step;first step;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0
precondition;precondition;precondition;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
code;code;code;6;5;4;3;15;8;2;0;2;3;0;2;2;2;4;3;6;12;0;4;15;2
semantic;semantic;semantics, semantic;6;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;3;0
random number;random number;random number;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
web service;web service;web services, web service;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
address book;address book;address book;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
datum;datum;data, datum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
original list;original list;original list;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
prefix;prefix;prefix;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
chained conditional;chained conditional;chained conditional;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
