Term;Stemmed;Variations;Frequency
semantic error;semantic error;semantic error;12
first step;first step;first step;9
precondition;precondition;precondition;4
code;code;code;100
semantic;semantic;semantics, semantic;15
random number;random number;random number;8
web service;web service;web services, web service;0
address book;address book;address book;0
datum;datum;data, datum;0
original list;original list;original list;0
prefix;prefix;prefix;5
chained conditional;chained conditional;chained conditional;1
generalize;generalize;generalize;7
dot notation;dot notation;dot notation;10
hanging;hanging;hanging;1
client code;client code;client code;1
follow;follow;follows, follow;4
golfer;golfer;golfer;9
loop repeat;loop repeat;loop repeats, loop repeat;0
row;row;row;7
typeerror;typeerror;typeerror;8
conditional operator;conditional operator;conditional operator;1
list cloning;list cloning;list cloning;0
infinite loop;infinite loop;infinite loop;8
deterministic;deterministic;deterministic;3
program;program;programs, program;296
swap;swap;swap;12
soap fault;soap fault;soap faults, soap fault;0
bracket operator;bracket operator;bracket operator;6
immutable;immutable;immutable;11
second argument;second argument;second argument;3
function parameter;function parameter;function parameter;0
program encapsulation;program encapsulation;program encapsulation;0
mutable object invariant;mutable object invariant;mutable object invariant;0
function return;function return;function returns, function return;7
modulus operator;modulus operator;modulus operator;9
handler class;handler class;handler class;0
lowercase;lowercase;lowercase;12
external link;external link;external links, external link;0
first-class object;first-class object;first-class objects, first-class object;0
global variable;global variable;global variables, global variable;0
class dictionary;class dictionary;class dictionaries, class dictionary;0
nesting;nesting;nesting;2
real dictionary;real dictionary;real dictionary;0
condition;condition;condition;43
improved queue;improved queue;improved queue;0
format string;format string;format string;8
list comprehension;list comprehension;list comprehensions, list comprehension;0
function equality;function equality;function equality;0
puppet lab;puppet lab;puppet labs, puppet lab;0
list;list;lists, list;370
error stream;error stream;error stream;0
expression function;expression function;expression functions, expression function;0
function definition;function definition;function definition;12
item;item;items, item;79
tree node;tree node;tree node;2
standard type;standard type;standard type;0
custom url;custom url;custom url;0
empty string;empty string;empty string;8
queueing policy;queueing policy;queueing policy;8
leading character;leading character;leading characters, leading character;0
fundamental ambiguity;fundamental ambiguity;fundamental ambiguity;3
different thing;different thing;different things, different thing;1
circular definition;circular definition;circular definition;2
configuration management;configuration management;configuration management;0
specific handler;specific handler;specific handler;0
input source;input source;input sources, input source;0
regular expression;regular expression;regular expressions, regular expression;3
different argument;different argument;different argument;1
modulus operator overloading;modulus operator overloading;modulus operator overloading;0
value;value;values, value;314
standard library;standard library;standard library;1
unittest module;unittest module;unittest module;0
callable object;callable object;callable object;0
parses html;par html;parses html;0
cargo;cargo;cargo;41
