"","Term","Chapters"
"1","above",100
"2","type",100
"3","order",100
"4","result",100
"5","haskell",100
"6","example",100
"7","name",100
"8","argument",100
"9","take",100
"10","show",100
"11","where",100
"12","function",100
"13","program",100
"14","list",100
"15","section",100
"16","definition",100
"17","input",100
"18","integer",100
"19","value",100
"20","time",95
"21","programming",95
"22","expression",95
"23","number",95
"24","writing",89
"25","just",89
"26","read",89
"27","return",89
"28","error",89
"29","application",89
"30","implementation",89
"31","length",89
"32","instance",89
"33","character",84
"34","variable",84
"35","pattern",84
"36","output",84
"37","behaviour",84
"38","string",84
