"","Term","Chapters"
"1","even",100
"2","type",100
"3","result",100
"4","just",100
"5","haskell",100
"6","time",100
"7","take",100
"8","where",100
"9","function",100
"10","list",100
"11","return",100
"12","instance",100
"13","value",100
"14","example",92
"15","parameter",92
"16","name",92
"17","pattern",92
"18","read",92
"19","string",92
"20","definition",92
"21","number",92
"22","code",92
"23","writing",83
"24","character",83
"25","head",83
"26","variable",83
"27","program",83
"28","section",83
"29","action",83
"30","error",83
"31","bit",83
"32","boolean",83
"33","state",83
"34","otherwise",83
"35","GHCi",75
"36","tuple",75
"37","pattern matching",75
"38","expression",75
"39","functions for",75
"40","integer",75
"41","application",75
"42","implementation",75
"43","list comprehension",67
"44","join",67
"45","order",67
"46","infix",67
"47","filter",67
"48","signature",67
"49","tree",67
"50","comprehension",67
"51","recursion",67
"52","class",67
"53","predicate",67
"54","map",67
"55","explicit",67
"56","declaration",67
"57","operator",67
"58","default",67
"59","tail",67
"60","condition",67
"61","set",67
"62","input",67
"63","constraint",67
"64","data type",67
"65","length",67
"66","type signature",67
"67","data structure",67
"68","pattern match",58
"69","sum",58
"70","syntax",58
"71","testing",58
"72","type declaration",58
"73","standard library",58
"74","maybe",58
"75","programming",58
"76","show",58
"77","binary",58
"78","class constraint",58
"79","nothing",58
"80","context",58
"81","readable",58
"82","typeclass",58
"83","above",50
"84","infix function",50
"85","infinite list",50
"86","concept",50
"87","message",50
"88","function application",50
"89","filtering",50
"90","output",50
"91","print",50
"92","recursive",50
"93","mapping",50
"94","zip",50
"95","boolean value",50
"96","monad",42
"97","equality",42
"98","lambda",42
"99","synonym",42
"100","type synonym",42
"101","file",42
"102","syntactic sugar",42
"103","evaluation",42
"104","store",42
"105","interface",42
"106","folding",42
"107","fold",42
"108","converting",42
"109","text",42
"110","module",42
"111","accumulator",42
"112","identity",42
"113","command",42
"114","export",42
"115","repeat",42
"116","keyword",33
"117","mapping over",33
"118","lazy",33
"119","maximum",33
"120","floating",33
"121","map function",33
"122","binary function",33
"123","functional programming",33
"124","purity",33
"125","product",33
"126","qualified",33
"127","drop",33
"128","type system",33
"129","square",33
"130","import",33
"131","algebraic",33
"132","association list",33
"133","floating point",33
"134","function composition",33
"135","minimum",33
"136","functor",33
"137","script",33
"138","assumption",33
"139","algebraic data type",33
"140","odd",33
"141","reverse",33
"142","type class",33
"143","laziness",33
"144","type annotation",33
"145","handle",33
"146","recursive function",33
"147","constructor",33
"148","guard",33
"149","vector",25
"150","type parameter",25
"151","typed",25
"152","matching on",25
"153","reuse",25
"154","picture",25
"155","global",25
"156","pure",25
"157","first function",25
"158","clause",25
"159","type constructor",25
"160","argument",25
"161","type variable",25
"162","running",25
"163","model",25
"164","programming language",25
"165","applicative style",25
"166","balancing",25
"167","making instance",25
"168","documentation",25
"169","left-associative",25
"170","null",25
"171","throwing",25
"172","creating",25
"173","understanding",25
"174","applicative functor",25
"175","handling",25
"176","loop",25
"177","applicative",25
"178","I/O",25
"179","transformation",25
"180","searching",25
"181","constant",25
"182","process",25
"183","common pattern",25
"184","successor",25
"185","strict",25
"186","type error",25
"187","qualified import",25
"188","derived instance",17
"189","calculator",17
"190","error handling",17
"191","curried function",17
"192","type name",17
"193","do notation",17
"194","monad law",17
"195","list monad",17
"196","replicate",17
"197","exception",17
"198","or function",17
"199","currying",17
"200","the list monad",17
"201","float",17
"202","thunk",17
"203","applicative operator",17
"204","newtype",17
"205","logical",17
"206","binary search tree",17
"207","GHC",17
"208","search tree",17
"209","pointer",17
"210","naming",17
"211","ord",17
"212","partial application",17
"213","convention",17
"214","monoid",17
"215","unicode",17
"216","take function",17
"217","pivot",17
"218","takewhile",17
"219","deriving",17
"220","equation",17
"221","applicative value",17
"222","parameterized",17
"223","type inference",17
"224","explicit recursion",17
"225","interact",17
"226","foldl1",17
"227","compiler",17
"228","concatenate",17
"229","side-effect",17
"230","stack",17
"231","elem",17
"232","record syntax",17
"233","readability",17
"234","integral",17
"235","span",17
"236","char",17
"237","value constructor",17
"238","partial",17
"239","lambda function",17
"240","foldl",17
"241","calculation",17
"242","closing",17
"243","proof",17
"244","type instance",17
"245","monadic value",17
"246","factorial",17
"247","command-line",17
"248","dictionary",17
"249","associativity",17
"250","reporting",17
"251","key-value pair",17
"252","sequencing",17
"253","context of failure",17
"254","random number",17
"255","record",17
"256","decoding",8
"257","getchar",8
"258","init",8
"259","two-dimensional vector",8
"260","temporary file",8
"261","fibonacci number",8
"262","datatype",8
"263","restriction",8
"264","right value",8
"265","directory",8
"266","combining",8
"267","function definition",8
"268","logging",8
"269","isalpha",8
"270","strings and character",8
"271","recursive data structure",8
"272","digittoint",8
"273","I/O and",8
"274","palindrome",8
"275","cons operator",8
"276","3d vector type",8
"277","num",8
"278","filename",8
"279","dropwhile",8
"280","syntax error",8
"281","monoid instance",8
"282","bytestring module",8
"283","IO",8
"284","id",8
"285","isalphanum",8
"286","conditional expression",8
"287","fixity",8
"288","foldr1",8
"289","type class instance",8
"290","subclassing",8
"291","fst",8
"292","isspace",8
"293","join function",8
"294","fmap",8
"295","mempty",8
"296","scope",8
"297","floating-point number",8
"298","stream",8
"299","set comprehension",8
"300","max",8
"301","date",8
"302","lifting",8
"303","taking advantage",8
"304","eq",8
"305","recursive definition",8
"306","islower",8
"307","isupper",8
"308","saving",8
"309","exhaustive pattern",8
"310","stateful computation",8
"311","lazy I/O",8
"312","filterm",8
"313","conjunction",8
"314","resource",8
"315","algebraic data structure",8
"316","hoogle",8
"317","class declaration",8
"318","strict and lazy",8
"319","concatenation",8
"320","second function",8
"321","static type",8
"322","toupper",8
"323","package",8
"324","delete function",8
"325","writer type",8
"326","concat",8
"327","reasoning",8
"328","functor typeclass",8
"329","inttodigit",8
"330","reader monad",8
"331","built-in",8
"332","executable",8
"333","case expression",8
"334","scan",8
"335","return function",8
"336","mapm",8
"337","applicative law",8
"338","buffering",8
"339","pure code",8
"340","putchar",8
"341","the state monad",8
"342","encoding",8
"343","horse",8
"344","scheme",8
"345","debugging",8
