"","Term","Chapters"
"1","even",100
"2","type",100
"3","result",100
"4","just",100
"5","haskell",100
"6","time",100
"7","take",100
"8","where",100
"9","function",100
"10","list",100
"11","return",100
"12","instance",100
"13","value",100
"14","example",92
"15","parameter",92
"16","name",92
"17","pattern",92
"18","read",92
"19","string",92
"20","definition",92
"21","number",92
"22","code",92
"23","writing",83
"24","character",83
"25","head",83
"26","variable",83
"27","program",83
"28","section",83
"29","action",83
"30","error",83
"31","bit",83
"32","boolean",83
"33","state",83
"34","otherwise",83
