"","Term","Chapters"
"1","result",100
"2","just",100
"3","haskell",100
"4","example",100
"5","function",100
"6","program",100
"7","code",100
"8","type",96
"9","take",96
"10","list",96
"11","return",96
"12","number",96
"13","name",93
"14","where",93
"15","file",93
"16","section",93
"17","set",93
"18","error",93
"19","module",93
"20","value",93
"21","even",89
"22","order",89
"23","writing",89
"24","time",89
"25","string",89
"26","input",89
"27","above",86
"28","GHCi",86
"29","programming",86
"30","show",86
"31","application",86
"32","implementation",86
"33","instance",86
"34","variable",82
"35","parameter",82
"36","argument",82
"37","expression",82
"38","read",82
"39","nothing",82
"40","character",79
"41","pattern",79
"42","otherwise",79
"43","definition",75
"44","bit",75
"45","pure",71
"46","GHC",71
"47","message",71
"48","default",71
"49","print",71
"50","text",71
"51","constructor",71
"52","class",68
"53","output",68
"54","store",68
"55","handle",68
"56","command",68
"57","lazy",64
"58","import",64
"59","operator",64
"60","action",64
"61","compiler",64
"62","integer",64
"63","length",64
"64","state",64
"65","signature",61
"66","syntax",61
"67","maybe",61
"68","type system",61
"69","source file",61
"70","running",61
"71","functions for",61
"72","loop",61
"73","process",61
"74","data type",61
"75","type signature",61
"76","int",61
"77","monad",57
"78","IO",57
"79","explicit",57
"80","convention",57
"81","behaviour",57
"82","creating",57
"83","typeclass",57
"84","export",57
"85","record",57
"86","map",54
"87","parse",54
"88","interface",54
"89","handling",54
"90","parsing",50
"91","package",50
"92","I/O",50
"93","database",50
"94","prelude",50
"95","exception",46
"96","declaration",46
"97","design",46
"98","evaluation",46
"99","stack",46
"100","constant",46
"101","bool",46
"102","directory",43
"103","tuple",43
"104","core",43
"105","IO monad",43
"106","drop",43
"107","synonym",43
"108","binary",43
"109","strict",43
"110","local",43
"111","restriction",39
"112","filter",39
"113","reuse",39
"114","pattern matching",39
"115","programming language",39
"116","tail",39
"117","understanding",39
"118","context",39
"119","char",39
"120","data structure",39
"121","software",39
"122","limit",39
"123","keyword",36
"124","head",36
"125","floating",36
"126","newtype",36
"127","standard library",36
"128","lifting",36
"129","naming",36
"130","clause",36
"131","recursive",36
"132","readability",36
"133","parser",36
"134","partial",36
"135","fold",36
"136","readable",36
"137","literal",36
"138","abstraction",32
"139","typed",32
"140","complexity",32
"141","pattern match",32
"142","testing",32
"143","id",32
"144","maximum",32
"145","type constructor",32
"146","documentation",32
"147","pure code",32
"148","thread",32
"149","query",32
"150","chunk",32
"151","table",32
"152","type parameter",29
"153","infix",29
"154","tree",29
"155","layout",29
"156","concept",29
"157","global",29
"158","functional programming",29
"159","square",29
"160","resource",29
"161","side effect",29
"162","algebraic",29
"163","floating point",29
"164","built-in",29
"165","assumption",29
"166","algebraic data type",29
"167","reverse",29
"168","constraint",29
"169","perl",29
"170","pure function",29
"171","interpreter",29
"172","guard",29
"173","join",25
"174","error handling",25
"175","infinite list",25
"176","sum",25
"177","recursion",25
"178","language extension",25
"179","stream",25
"180","type variable",25
"181","model",25
"182","type synonym",25
"183","mutable",25
"184","null",25
"185","transformation",25
"186","value constructor",25
"187","laziness",25
"188","hiding",25
"189","closing",25
"190","identifier",25
"191","bytestring",25
"192","repeat",25
"193","specification",21
"194","function definition",21
"195","matching on",21
"196","case study",21
"197","transformer",21
"198","logical",21
"199","purity",21
"200","pointer",21
"201","qualified",21
"202","eq",21
"203","partial application",21
"204","reasoning",21
"205","escaping",21
"206","function composition",21
"207","equation",21
"208","installing",21
"209","type inference",21
"210","encoding",21
"211","liftm",21
"212","record syntax",21
"213","state monad",21
"214","converting",21
"215","type error",21
"216","identity",21
"217","filesystem",21
"218","programming with",18
"219","type name",18
"220","lazy evaluation",18
"221","coding",18
"222","regular expression",18
"223","substitution",18
"224","putstrln",18
"225","thunk",18
"226","picture",18
"227","fmap",18
"228","scope",18
"229","date",18
"230","window",18
"231","lambda",18
"232","comment",18
"233","deriving",18
"234","concat",18
"235","condition",18
"236","executable",18
"237","functor",18
"238","the state monad",18
"239","script",18
"240","debugging",18
"241","odd",18
"242","concatenate",18
"243","integral",18
"244","searching",18
"245","arithmetic",18
"246","boolean",18
"247","calculation",18
"248","polymorphism",18
"249","monad transformer",14
"250","maybe monad",14
"251","combining",14
"252","I/O and",14
"253","implication",14
"254","num",14
"255","type declaration",14
"256","flexible",14
"257","boilerplate code",14
"258","haskell 98",14
"259","System.IO",14
"260","wild card",14
"261","predicate",14
"262","strictness",14
"263","equality",14
"264","partial function",14
"265","taking advantage",14
"266","ord",14
"267","function application",14
"268","filtering",14
"269","unicode",14
"270","evaluation strategy",14
"271","either type",14
"272","mapping",14
"273","file processing",14
"274","interact",14
"275","local function",14
"276","folding",14
"277","fold function",14
"278","temporary",14
"279","elem",14
"280","module header",14
"281","parsec",14
"282","type class",14
"283","foldl",14
"284","binary tree",14
"285","map type",14
"286","global variable",14
"287","associativity",14
"288","writer monad",14
"289","reporting",14
"290","web client programming",14
"291","enum",14
"292","random number",14
"293","list comprehension",11
"294","type checking",11
"295","IO type",11
"296","logging",11
"297","latency",11
"298","directories and file",11
"299","comprehension",11
"300","type definition",11
"301","or function",11
"302","fixity",11
"303","automatic derivation",11
"304","rendering",11
"305","base case",11
"306","fst",11
"307","parse type",11
"308","substring",11
"309","product",11
"310","first function",11
"311","non-strict evaluation",11
"312","API design",11
"313","monoid",11
"314","continuation",11
"315","space leak",11
"316","concatenation",11
"317","termination",11
"318","mod",11
"319","podcatcher",11
"320","association list",11
"321","systems programming",11
"322","fractional",11
"323","scan",11
"324","minimum",11
"325","mapm",11
"326","LANGUAGE pragma",11
"327","linking",11
"328","throwing",11
"329","profiling",11
"330","applicative",11
"331","local variable",11
"332","span",11
"333","lazy reading",11
"334","foldr",11
"335","proof",11
"336","tail recursion",11
"337","lazy language",11
"338","common pattern",11
"339","glob pattern",11
"340","pixel",11
"341","command-line",11
"342","type annotation",11
"343","accumulator",11
"344","hardware",11
"345","mzero",11
"346","sequencing",11
"347","qualified import",11
"348","networking",11
"349","overlapping",11
"350","standard prelude",11
"351","dynamic",7
"352","const",7
"353","vector",7
"354","init",7
"355","calculator",7
"356","pretty printer",7
"357","immutable array",7
"358","temporary file",7
"359","splitting line",7
"360","feedback",7
"361","prefix notation",7
"362","list monad",7
"363","filename",7
"364","shell scripting",7
"365","maybe type",7
"366","replicate",7
"367","monoid instance",7
"368","boolean logic",7
"369","currying",7
"370","monad stack",7
"371","fusion",7
"372","combining function",7
"373","the list monad",7
"374","curry",7
"375","float",7
"376","mutable array",7
"377","graph",7
"378","implicit state",7
"379","character class",7
"380","operator precedence",7
"381","object file",7
"382","XML",7
"383","System.Random",7
"384","deconstructor",7
"385","module declaration",7
"386","toupper",7
"387","line function",7
"388","pivot",7
"389","bloom filter",7
"390","ab",7
"391","takewhile",7
"392","CPP",7
"393","ruby",7
"394","out of scope",7
"395","balancing",7
"396","reader monad",7
"397","total function",7
"398","using multiple",7
"399","monadstate typeclass",7
"400","buffering",7
"401","text mode",7
"402","explicit recursion",7
"403","scheme",7
"404","monadreader typeclass",7
"405","impure code",7
"406","lazy function",7
"407","Mac OS X",7
"408","overloading",7
"409","assignment",7
"410","the reader monad",7
"411","sorting",7
"412","connecting",7
"413","FFI binding",7
"414","random value",7
"415","defining new",7
"416","wadler",7
"417","offside rule",7
"418","memory management",7
"419","guideline",7
"420","boolean value",7
"421","wild card pattern",7
"422","snd",7
"423","database engine",7
"424","point-free style",7
"425","undefined value",7
"426","enumerating",7
"427","zipwith",7
"428","pitfall",7
"429","invariant",7
"430","URL-encoded query string",7
"431","recursive function",7
"432","key-value pair",7
"433","socket",7
"434","negate",7
"435","reduction",7
"436","editing",7
"437","imperative programming",7
"438","iterator type",4
"439","derived instance",4
"440","decoding",4
"441","enumeration notation",4
"442","infix function",4
"443","polymorphic testing",4
"444","two-dimensional vector",4
"445","open world assumption",4
"446","defining and using new",4
"447","jenkins hash function",4
"448","PGM file",4
"449","datatype",4
"450","runtime option",4
"451","type-based testing",4
"452","memory location",4
"453","hanging lambda",4
"454","derivedatatypeable",4
"455","shared pattern",4
"456",">>",4
"457","idempotency",4
"458","value comparison",4
"459","string type",4
"460","property-based testing",4
"461","ternary type",4
"462","recursive type",4
"463","HPC (Haskell Program Coverage)",4
"464","UPC-A barcodes",4
"465","monad law",4
"466","palindrome",4
"467","ix type",4
"468","mapping over",4
"469","closing file handle",4
"470","lifted function",4
"471","program termination",4
"472","types and purity",4
"473","identity parser",4
"474","text I/O",4
"475","sort function",4
"476","preprocessor",4
"477","seek pointer",4
"478","internal module",4
"479","exception type",4
"480","simplification",4
"481","dropwhile",4
"482","syntax error",4
"483","monomorphism restriction",4
"484","bytestring module",4
"485","nil",4
"486","file modification",4
"487","conditional expression",4
"488","C PCRE API",4
"489","gen environment",4
"490","newtype declaration",4
"491","recursive case",4
"492","SELECT statement",4
"493","transformer stacking",4
"494","starvation",4
"495","quicksort algorithm",4
"496","category theory",4
"497","precedence and associativity",4
"498","strong type",4
"499","subclassing",4
"500","immutable state",4
"501","thread map",4
"502","map function",4
"503","text processing",4
"504","isspace",4
"505","binary function",4
"506","structural recursion",4
"507","div",4
"508","accumulation",4
"509","barcode",4
"510","queue",4
"511","parsec helper function",4
"512","sharing",4
"513","PostgreSQL",4
"514","arithmetic expression",4
"515","JSON typeclass",4
"516","monadic use",4
"517","waiting for other threads",4
"518","folding over arrays",4
"519","web site",4
"520","shadowing",4
"521","HTTP request",4
"522","recursive definition",4
"523","isupper",4
"524","saving",4
"525","enumeration type",4
"526","hug",4
"527","concurrent programming with threads",4
"528","exhaustive pattern",4
"529","runtime statistic",4
"530","infix form",4
"531","lazy I/O",4
"532","typed pointer",4
"533","HUnit library",4
"534","lambda expression",4
"535","external program",4
"536","sequential sorting",4
"537","filterm",4
"538","typeable typeclass",4
"539","variable naming",4
"540","string-handling",4
"541","exclusive or",4
"542","abstract data type",4
"543","serialization",4
"544","interface file",4
"545","INSERT query",4
"546","modification time",4
"547","strict and lazy",4
"548","second function",4
"549","arbitrary function",4
"550","standard module",4
"551","static type",4
"552","mathematical induction",4
"553","take function",4
"554","subtype polymorphism",4
"555","inductive case",4
"556","EAN-13 barcodes",4
"557","solution map",4
"558","op",4
"559","discriminated union",4
"560","applicative style",4
"561","GUI programming",4
"562","vs. I/O",4
"563","projection function",4
"564","class constraint",4
"565","mapreduce",4
"566","two-dimensional array",4
"567","syslog",4
"568","UDP",4
"569","writert monad transformer",4
"570","supplying random number",4
"571","escape character",4
"572","programmable semicolon",4
"573","coercion",4
"574","overlapping instance",4
"575","JSON (JavaScript Object Notation)",4
"576","UIDs (user IDs)",4
"577","STM monad",4
"578","syntactic sugar",4
"579","case expression",4
"580","return function",4
"581","parameterized",4
"582","stacking multiple",4
"583","initializing",4
"584","c preprocessor",4
"585","parametric polymorphism",4
"586",".tix file",4
"587","Glasgow Haskell Compiler (GHC)",4
"588","monomorphism",4
"589","event-driven",4
"590","duck typing",4
"591","grain size",4
"592","free variable",4
"593","ODBC driver",4
"594","GTK+ development environment",4
"595","backtracking",4
"596","threaded runtime",4
"597","strict type",4
"598","word32 type",4
"599","undefined symbol",4
"600","side-effect",4
"601","print function",4
"602","applicative functor",4
"603","double hashing",4
"604","show typeclass",4
"605","cheap modification",4
"606","MySQL",4
"607","pseudorandom value generation",4
"608","new identity",4
"609","google",4
"610","splitat",4
"611","dynamic exception",4
"612","iterate",4
"613","find command",4
"614","PCRE library and",4
"615","RSS format",4
"616","magic number",4
"617","foreign import declaration",4
"618","null value",4
"619","monadtrans class",4
"620","glasgow haskell compiler",4
"621","compact function",4
"622","oracle",4
"623","composite data type",4
"624","CSV file",4
"625","quality assurance",4
"626","getline",4
"627","higher-order function",4
"628","recip",4
"629","line-aligned chunk",4
"630","dates and time",4
"631","x86_64 assembly",4
"632","transformer stacking order",4
"633","zip",4
"634","loop function",4
"635","as-pattern",4
"636","mutable reference",4
"637","negation",4
"638","generator expression",4
"639","object-oriented",4
"640","FreeBSD",4
"641","type instance",4
"642","ELF object file",4
"643","RGB image",4
"644","monadic value",4
"645","injector function",4
"646","successor",4
"647","synchronizing variable",4
"648","induction",4
"649","dictionary",4
"650","invisible data dependency",4
"651","Daylight Saving Time (DST)",4
"652","glasgow haskell",4
"653","putstr",4
"654","information hiding",4
"655","pseudorandom number generator (PRNG)",4
"656","barcode recognition",4
"657","monad type class",4
"658","evaluation order",4
"659","immutable list",4
"660","common pattern in monads",4
"661","moggi",4
"662","string literal",4
"663","link time",4
"664","environment variable",4
"665","flex",4
"666","Adler-32 checksum",4
"667","infinity",4
"668","lookup function",4
"669","haskell.org",4
"670","TCP",4
"671","ADT",4
"672","callback function",4
"673","monomorphic property",4
"674","monadplus",4
"675","non-threaded runtime",4
"676","glade",4
"677","MonadIO typeclass",4
"678","divide and conquer",4
"679","embedded domain specific language",4
"680","binary I/O",4
"681","HPC",4
"682","lock order inversion",4
"683","scaled value",4
"684","POSIX regular expression",4
"685","impure function",0
"686","function for 2nd",0
"687","updatelookupwithkey type",0
"688","polymorphic list type",0
"689","splitat function",0
"690","anchored regular expression",0
"691","decoding barcode",0
"692","blockbuffering mode (buffermode)",0
"693","prepare function",0
"694","product type",0
"695","ST (state thread) monad",0
"696","runparse function",0
"697","vs. space",0
"698","p5 (raw) netpbm image format",0
"699","Data.Dynamic module",0
"700","tan function",0
"701","overlappinginstances 2nd",0
"702","binding function [see (>>=) operator]",0
"703","byetstring module",0
"704","supermarket billing",0
"705","putstrln function 2nd 3rd",0
"706","regexcontex typeclass",0
"707","unlifted function",0
"708","local functions/global variable",0
"709","System.Directory library",0
