"","Term","Frequency"
"28","action",202
"23","argument",248
"6","code",667
"24","constructor",238
"30","definition",195
"21","error",256
"13","example",369
"12","expression",375
"8","file",535
"1","function",1909
"25","GHCi",221
"4","haskell",835
"29","input",200
"14","instance",356
"26","just",219
"3","list",892
"17","module",304
"7","monad",580
"16","name",349
"19","number",287
"20","pattern",271
"15","program",355
"10","result",443
"9","return",461
"27","state",219
"11","string",399
"18","take",303
"22","time",251
"2","type",1661
"5","value",826
